"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"347689","SOX2-OT",571,"Promoter (<=1kb)",2.42866387987449,4.41945800849638e-23,4.74674342657003e-20
"29970","SCHIP1",-8558,"Intron (ENST00000476809.7/100505385, intron 4 of 9)",2.37489842264254,4.79881709703277e-18,9.66411780593067e-16
"9867","PJA2",-44374,"Distal Intergenic",2.33191756605964,6.63845050554537e-16,6.71943265045595e-14
"79670","TUT7",1137,"Promoter (1-2kb)",2.31191471846587,1.28563267397388e-16,1.64603552887e-14
"84909","AOPEP",517,"Promoter (<=1kb)",2.25842988166235,1.58113340258829e-27,4.36686458174848e-24
"105376220","LINC02977",8591,"Exon (ENST00000658557.1/105376220, exon 3 of 3)",2.21624335799529,1.3027197894461e-19,4.6639780906225e-17
"6506","SLC1A2",-1372,"Promoter (1-2kb)",2.18471327343658,2.79549793926573e-17,4.5037801383187e-15
"8910","SGCE",0,"Promoter (<=1kb)",2.18272557783078,6.94027255280525e-18,1.31545381630769e-15
"1123","CHN1",8957,"3' UTR",2.18072864004715,4.0960542999748e-17,6.33512142251303e-15
"5980","REV3L",3726,"Intron (ENST00000434009.5/5980, intron 1 of 33)",2.1747763296316,1.51002322112156e-16,1.90805744666294e-14
"388815","MIR99AHG",0,"Promoter (<=1kb)",2.15264718653452,1.28087926232747e-15,1.18484396069747e-13
"4507","MTAP",-20683,"Intron (ENST00000644715.2/4507, intron 4 of 7)",2.13983455594043,2.52373199483857e-22,2.21778684800973e-19
"5934","RBL2",0,"Promoter (<=1kb)",2.12401282649045,1.06933256888487e-12,3.93779172461926e-11
"57624","NYAP2",531521,"Distal Intergenic",2.10131980153004,4.27237476561016e-16,4.71987550534522e-14
"29970","SCHIP1",-1708,"Promoter (1-2kb)",2.05365879948063,1.96069953997805e-11,4.83497502632596e-10
"169792","GLIS3",6706,"Intron (ENST00000324333.14/169792, intron 1 of 9)",2.05212433432766,6.39405156243169e-19,1.87297270994685e-16
"441094","NR2F1-AS1",232076,"Distal Intergenic",2.04412221525313,1.80702170598636e-15,1.60252984595571e-13
"105375463","LOC105375463",25500,"Exon (ENST00000460222.5/105375463, exon 4 of 6)",2.03809844072246,4.22063365230295e-18,8.96675938461241e-16
"960","CD44",-7771,"Intron (ENST00000526025.2/960, intron 1 of 1)",2.03268975342931,5.58859311670484e-24,8.31109774809652e-21
"107986636","LOC107986636",131614,"Distal Intergenic",2.02682830561984,7.10939439876298e-21,3.92702634032242e-18
"3696","ITGB8",-11249,"Exon (ENST00000460204.1/3696, exon 2 of 2)",2.0178229639839,1.13734074285077e-13,5.71122300819062e-12
"81671","VMP1",-16874,"Intron (ENST00000593168.5/81671, intron 3 of 4)",2.0165996155048,2.63778995394028e-18,6.2897940451613e-16
"105374701","LOC105374701",14992,"Distal Intergenic",2.00766948810718,4.1754901463831e-15,3.40610763713183e-13
"388815","MIR99AHG",0,"Promoter (<=1kb)",2.00676919902825,5.5652279546081e-13,2.27950322132285e-11
"105374698","LINC02103",-119552,"Distal Intergenic",2.00385380346291,1.87746784242422e-13,8.74893152184907e-12
"81671","VMP1",-10518,"Intron (ENST00000262291.9/81671, intron 10 of 11)",2.00127199800377,2.77309911545297e-12,8.86154135521526e-11
"2919","CXCL1",16230,"Distal Intergenic",1.99792043311698,2.14676482575235e-15,1.86952271965181e-13
"6788","STK3",-74088,"Intron (ENST00000617590.1/6788, intron 4 of 8)",1.99019123408575,1.32258678771032e-15,1.21182797946936e-13
"55187","VPS13D",-14373,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1.98764095327697,1.84239433433012e-20,8.90475241640107e-18
"406947","MIR155",0,"Promoter (<=1kb)",1.98427630550345,2.48387079115794e-09,3.00021718002184e-08
"101927640","LAMA4-AS1",-2617,"Promoter (2-3kb)",1.98278862565021,4.78510362372529e-16,5.22657674336051e-14
"100616377","MIR4803",-26985,"Intron (ENST00000512974.5/4131, intron 3 of 3)",1.97977134622375,3.28517256652481e-24,5.77384011169311e-21
"5937","RBMS1",-11540,"Intron (ENST00000474820.5/5937, intron 2 of 15)",1.97376081399925,2.57448513194291e-08,2.26653521911678e-07
"79776","ZFHX4",-2995,"Promoter (2-3kb)",1.97316551899238,9.89862754843242e-15,7.41744830983891e-13
"860","RUNX2",0,"Promoter (<=1kb)",1.97094757283276,5.93136143476424e-15,4.69963158271709e-13
"5937","RBMS1",-8519,"Intron (ENST00000474820.5/5937, intron 7 of 15)",1.96941740795025,1.64573555173474e-12,5.62137904976815e-11
"22871","NLGN1",158391,"Intron (ENST00000695368.1/22871, intron 3 of 6)",1.96821848010795,1.25884587250957e-17,2.19254659938987e-15
"55214","P3H2",38590,"Intron (ENST00000319332.10/55214, intron 1 of 14)",1.95390692197894,4.14725496491281e-17,6.36340319338566e-15
"5218","CDK14",-6376,"Intron (ENST00000380050.8/5218, intron 5 of 14)",1.95116707866575,1.68893968585531e-16,2.09787119247995e-14
"100422991","MIR1260B",-59976,"Intron (ENST00000524717.6/84441, intron 1 of 4)",1.9487010070301,2.09264864688715e-19,7.22449576611953e-17
"105369292","LOC105369292",60477,"Intron (ENST00000673983.1/ENST00000673983.1, intron 1 of 4)",1.9468394529479,3.08547342050604e-17,4.8894637408724e-15
"6372","CXCL6",-21059,"Distal Intergenic",1.94502318580729,8.7071778038717e-12,2.40479812117502e-10
"389161","ANKUB1",0,"Promoter (<=1kb)",1.93652006133067,1.89157552212375e-15,1.66985523147117e-13
"100507086","DLG1-AS1",5197,"Distal Intergenic",1.93449282709664,1.40143011980342e-14,9.99773007607365e-13
"7204","TRIO",5392,"Intron (ENST00000698541.1/7204, intron 1 of 36)",1.9334231046058,4.22160823000326e-20,1.89805469559658e-17
"101929577","LOC101929577",-39207,"Intron (ENST00000394708.7/93627, intron 25 of 25)",1.92893695837431,1.0437690159831e-15,1.00393962119409e-13
"83938","LRMDA",26089,"Intron (ENST00000611255.5/83938, intron 6 of 6)",1.92799303804535,1.22472410830672e-25,2.63084346509931e-22
"5803","PTPRZ1",-73049,"Distal Intergenic",1.92400810489737,8.26479270173752e-16,8.19401216936879e-14
"347689","SOX2-OT",2315,"Promoter (2-3kb)",1.92394407849847,3.243363652272e-13,1.37810877998625e-11
"101927629","LINC02165",191571,"Distal Intergenic",1.92092418234403,1.17272076534774e-10,2.24699807298988e-09
"64374","SIL1",26636,"Intron (ENST00000510110.1/ENST00000510110.1, intron 1 of 2)",1.91819158365795,7.10746005755959e-15,5.47444323875695e-13
"105379675","LOC105379675",-54858,"Intron (ENST00000502645.2/101929710, intron 1 of 4)",1.91764600861122,4.90666276288812e-12,1.45939247992178e-10
"10512","SEMA3C",33557,"Intron (ENST00000265361.8/10512, intron 2 of 17)",1.91585936052047,4.97139049240933e-11,1.07748758284473e-09
"105375750","LOC105375750",15194,"Distal Intergenic",1.91505621379229,1.43694583144971e-12,5.02359380821289e-11
"105374524","LOC105374524",202882,"Distal Intergenic",1.91447356176148,3.22323130573124e-15,2.7211672853145e-13
"100507086","DLG1-AS1",1800,"Promoter (1-2kb)",1.91027348932427,7.61478547607454e-18,1.41640198814387e-15
"6711","SPTBN1",26833,"Intron (ENST00000615901.4/6711, intron 2 of 37)",1.90267864468596,5.91929193921407e-13,2.40415275337869e-11
"101928165","CASC17",-48976,"Distal Intergenic",1.89759135989627,6.53940067905078e-14,3.61217809508825e-12
"6711","SPTBN1",-991,"Promoter (<=1kb)",1.89580097447458,4.32900607925935e-23,4.74674342657003e-20
"3899","AFF3",30909,"Intron (ENST00000409236.6/3899, intron 5 of 22)",1.8858862822,7.8829705076736e-13,3.0238386671598e-11
"100131234","MIR181A1HG",0,"Promoter (<=1kb)",1.88501456270473,1.67761982912963e-14,1.16248832102377e-12
"51196","PLCE1",5514,"3' UTR",1.88344125316033,5.14104874184983e-20,2.16069337665615e-17
"9482","STX8",47608,"Intron (ENST00000306357.9/9482, intron 6 of 7)",1.88211909500811,6.98831773862937e-12,1.99564470961479e-10
"4734","NEDD4",0,"Promoter (<=1kb)",1.87829834136055,5.61431459905405e-18,1.09637923377285e-15
"56950","SMYD2",14448,"Intron (ENST00000491455.5/56950, intron 1 of 10)",1.87654374112216,2.28649420666663e-13,1.04011276464673e-11
"1500","CTNND1",-20,"Promoter (<=1kb)",1.87610696297649,6.16488632316356e-09,6.56670783943367e-08
"54454","ATAD2B",6898,"Intron (ENST00000238789.10/54454, intron 18 of 27)",1.87136458970035,2.11978616736595e-09,2.62417812469989e-08
"92737","DNER",130501,"Intron (ENST00000341772.5/92737, intron 7 of 12)",1.8707299695619,2.71605510941972e-13,1.18248809952582e-11
"105369739","LINC02450",96326,"Distal Intergenic",1.87005049741075,1.78798026859883e-14,1.22578094088019e-12
"440714","LINC02869",0,"Promoter (<=1kb)",1.86872877765877,3.1421834030202e-15,2.66437858467498e-13
"323","APBB2",50263,"Intron (ENST00000508593.6/323, intron 1 of 17)",1.86751871565041,2.65540383254974e-13,1.16410254636472e-11
"105378998","LOC105378998",-111710,"Distal Intergenic",1.8667983709338,5.48220132223754e-15,4.36162132357277e-13
"100422965","MIR4263",105706,"Intron (ENST00000344773.6/9577, intron 6 of 12)",1.86219734265352,3.10880411714698e-10,5.13696666639338e-09
"26137","ZBTB20",21,"Promoter (<=1kb)",1.85778372613393,1.40101795117502e-21,9.33995863795406e-19
"339593","LOC339593",63081,"Distal Intergenic",1.85620842487592,5.44554840418434e-19,1.67109186187454e-16
"6383","SDC2",24322,"3' UTR",1.84984826465116,6.10609036780548e-11,1.2817485893679e-09
"9315","NREP",-6417,"Intron (ENST00000507222.5/100873948, intron 3 of 3)",1.84399268821819,1.85916852918009e-10,3.34045587124894e-09
"729467","HSD52",-3942,"Intron (ENST00000625548.1/ENST00000625548.1, intron 1 of 4)",1.84217569583828,2.81460201635295e-15,2.40773012310405e-13
"9162","DGKI",42220,"Intron (ENST00000453654.6/9162, intron 20 of 32)",1.84198185620577,3.27713719407323e-14,2.04377075396831e-12
"8828","NRP2",5476,"Exon (ENST00000464003.1/8828, exon 3 of 4)",1.84142880141155,1.96810945784984e-32,3.80494601486109e-28
"9650","MTFR1",8434,"3' UTR",1.83315048166108,7.99299907347763e-13,3.05997328886224e-11
"728434","LINC02871",91274,"Distal Intergenic",1.83313268080698,1.9892247432468e-14,1.34467419444722e-12
"131566","DCBLD2",0,"Promoter (<=1kb)",1.82736116872967,2.28150257389726e-17,3.76993925309024e-15
"101867536","PRNCR1",112,"Promoter (<=1kb)",1.82684080144501,4.46279050958635e-11,9.8044464683901e-10
"55187","VPS13D",22984,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1.82655443597976,1.5019308936757e-29,5.80736599348645e-26
"101928687","LNCAROD",0,"Promoter (<=1kb)",1.82571071869018,1.89913936471793e-21,1.18438907542231e-18
"101928539","LINC02225",73060,"Distal Intergenic",1.82478174542949,1.09512120738306e-13,5.52793167162839e-12
"112840934","NGF-AS1",-30135,"Distal Intergenic",1.8242942732814,2.25833590110101e-14,1.49521945123239e-12
"5431","POLR2B",0,"Promoter (<=1kb)",1.82198481509161,2.29609233067074e-13,1.0420270664051e-11
"55744","COA1",3983,"Intron (ENST00000648544.1/9263, intron 8 of 8)",1.81899969731956,1.35853901666961e-14,9.76380476181175e-13
"7402","UTRN",308431,"Distal Intergenic",1.81826203138812,1.17640311229361e-16,1.5577672171214e-14
