"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"347689","SOX2-OT",571,"Promoter (<=1kb)",2.42866387987449,4.41945800849638e-23,4.74674342657003e-20
"79670","TUT7",1137,"Promoter (1-2kb)",2.31191471846587,1.28563267397388e-16,1.64603552887e-14
"84909","AOPEP",517,"Promoter (<=1kb)",2.25842988166235,1.58113340258829e-27,4.36686458174848e-24
"6506","SLC1A2",-1372,"Promoter (1-2kb)",2.18471327343658,2.79549793926573e-17,4.5037801383187e-15
"8910","SGCE",0,"Promoter (<=1kb)",2.18272557783078,6.94027255280525e-18,1.31545381630769e-15
"388815","MIR99AHG",0,"Promoter (<=1kb)",2.15264718653452,1.28087926232747e-15,1.18484396069747e-13
"5934","RBL2",0,"Promoter (<=1kb)",2.12401282649045,1.06933256888487e-12,3.93779172461926e-11
"29970","SCHIP1",-1708,"Promoter (1-2kb)",2.05365879948063,1.96069953997805e-11,4.83497502632596e-10
"388815","MIR99AHG",0,"Promoter (<=1kb)",2.00676919902825,5.5652279546081e-13,2.27950322132285e-11
"406947","MIR155",0,"Promoter (<=1kb)",1.98427630550345,2.48387079115794e-09,3.00021718002184e-08
"101927640","LAMA4-AS1",-2617,"Promoter (2-3kb)",1.98278862565021,4.78510362372529e-16,5.22657674336051e-14
"79776","ZFHX4",-2995,"Promoter (2-3kb)",1.97316551899238,9.89862754843242e-15,7.41744830983891e-13
"860","RUNX2",0,"Promoter (<=1kb)",1.97094757283276,5.93136143476424e-15,4.69963158271709e-13
"389161","ANKUB1",0,"Promoter (<=1kb)",1.93652006133067,1.89157552212375e-15,1.66985523147117e-13
"347689","SOX2-OT",2315,"Promoter (2-3kb)",1.92394407849847,3.243363652272e-13,1.37810877998625e-11
"100507086","DLG1-AS1",1800,"Promoter (1-2kb)",1.91027348932427,7.61478547607454e-18,1.41640198814387e-15
"6711","SPTBN1",-991,"Promoter (<=1kb)",1.89580097447458,4.32900607925935e-23,4.74674342657003e-20
"100131234","MIR181A1HG",0,"Promoter (<=1kb)",1.88501456270473,1.67761982912963e-14,1.16248832102377e-12
"4734","NEDD4",0,"Promoter (<=1kb)",1.87829834136055,5.61431459905405e-18,1.09637923377285e-15
"1500","CTNND1",-20,"Promoter (<=1kb)",1.87610696297649,6.16488632316356e-09,6.56670783943367e-08
"440714","LINC02869",0,"Promoter (<=1kb)",1.86872877765877,3.1421834030202e-15,2.66437858467498e-13
"26137","ZBTB20",21,"Promoter (<=1kb)",1.85778372613393,1.40101795117502e-21,9.33995863795406e-19
"131566","DCBLD2",0,"Promoter (<=1kb)",1.82736116872967,2.28150257389726e-17,3.76993925309024e-15
"101867536","PRNCR1",112,"Promoter (<=1kb)",1.82684080144501,4.46279050958635e-11,9.8044464683901e-10
"101928687","LNCAROD",0,"Promoter (<=1kb)",1.82571071869018,1.89913936471793e-21,1.18438907542231e-18
"5431","POLR2B",0,"Promoter (<=1kb)",1.82198481509161,2.29609233067074e-13,1.0420270664051e-11
"29970","SCHIP1",0,"Promoter (<=1kb)",1.81743820233272,4.53508132685835e-11,9.95195542476191e-10
"8828","NRP2",0,"Promoter (<=1kb)",1.80767255104972,4.63573077244223e-28,1.49370971706043e-24
"960","CD44",0,"Promoter (<=1kb)",1.79940128126913,2.01664464381782e-22,1.94938954494649e-19
"302","ANXA2",0,"Promoter (<=1kb)",1.78824141984549,6.85658380321068e-32,6.62791673337361e-28
"101926978","LINC01111",0,"Promoter (<=1kb)",1.78541462298617,2.39399637484515e-17,3.92229931482045e-15
"114907","FBXO32",1666,"Promoter (1-2kb)",1.77740015538913,7.88501465592365e-14,4.19947626289179e-12
"84159","ARID5B",0,"Promoter (<=1kb)",1.77089860094205,8.60513473476956e-30,4.1590767456825e-26
"7913","DEK",2816,"Promoter (2-3kb)",1.74934555365346,1.57268659560126e-09,2.03648693588474e-08
"55277","FGGY",2613,"Promoter (2-3kb)",1.74415261532666,2.73544288066183e-18,6.37160448335363e-16
"7204","TRIO",869,"Promoter (<=1kb)",1.74331458169866,1.43248103361311e-12,5.01705721428301e-11
"55187","VPS13D",0,"Promoter (<=1kb)",1.74281826609292,1.51148593551581e-15,1.35284988848737e-13
"10768","AHCYL1",0,"Promoter (<=1kb)",1.73781108059086,8.34441240006133e-14,4.3718841444549e-12
"22823","MTF2",0,"Promoter (<=1kb)",1.72603193013247,1.08781068117105e-13,5.50540416206282e-12
"302","ANXA2",0,"Promoter (<=1kb)",1.72035215585644,2.5852140007533e-26,6.24749278457044e-23
"56995","TULP4",1268,"Promoter (1-2kb)",1.71366102045658,6.15781278275188e-15,4.85914263383437e-13
"57224","NHSL1",0,"Promoter (<=1kb)",1.70776254026889,1.70064949052565e-12,5.77832277685981e-11
"107984352","LOC107984352",578,"Promoter (<=1kb)",1.70702959711435,1.31069040550572e-09,1.74035560505784e-08
"10658","CELF1",0,"Promoter (<=1kb)",1.67915618864267,1.53684643744469e-16,1.92934105033235e-14
"100379345","MIR181A2HG",0,"Promoter (<=1kb)",1.67833959046862,2.53572509047115e-14,1.63957100916651e-12
"29887","SNX10",-464,"Promoter (<=1kb)",1.67260152527587,1.04150242147885e-06,5.48708958621555e-06
"200734","SPRED2",0,"Promoter (<=1kb)",1.66987827840891,6.00342889196684e-16,6.17363248768059e-14
"107984773","LINC01852",2168,"Promoter (2-3kb)",1.66850414136379,1.46441475525542e-07,1.0125726202916e-06
"221037","JMJD1C",0,"Promoter (<=1kb)",1.66399066978183,1.73834179404144e-09,2.21684445278385e-08
"2113","ETS1",192,"Promoter (<=1kb)",1.66346494053819,6.92789383628532e-25,1.33936971536904e-21
"100874243","PRICKLE2-AS3",0,"Promoter (<=1kb)",1.65970525647647,2.13025545319615e-16,2.54223633806427e-14
"100302287","MIR548H3",0,"Promoter (<=1kb)",1.65820947507228,3.88621397156416e-22,3.26661629183695e-19
"3556","IL1RAP",1927,"Promoter (1-2kb)",1.65270651419539,8.22979445345567e-11,1.66082062806533e-09
"169792","GLIS3",0,"Promoter (<=1kb)",1.6520577526988,7.73226990110112e-17,1.09917627939697e-14
"3480","IGF1R",0,"Promoter (<=1kb)",1.64938783903509,8.32223090083708e-14,4.3718841444549e-12
"3575","IL7R",0,"Promoter (<=1kb)",1.64935946957191,1.57157123571006e-18,3.84597299999779e-16
"136319","MTPN",0,"Promoter (<=1kb)",1.64422886263482,3.27233758084893e-08,2.78451155152079e-07
"84847","LINC00525",1334,"Promoter (1-2kb)",1.64339040026796,1.43237524064857e-15,1.30009908579619e-13
"2908","NR3C1",0,"Promoter (<=1kb)",1.64299281256522,5.55288998827138e-17,8.109834077013e-15
"101927574","LINC01186",0,"Promoter (<=1kb)",1.63927300316134,6.82862091993951e-15,5.32329549375768e-13
"404672","GTF2H5",1764,"Promoter (1-2kb)",1.63819117391809,1.72497436782394e-11,4.34796994173927e-10
"4124","MAN2A1",2788,"Promoter (2-3kb)",1.6380676930441,2.55423475066093e-13,1.12742055786593e-11
"6567","SLC16A2",0,"Promoter (<=1kb)",1.63151039201827,6.17059286081541e-16,6.31196146974308e-14
"56287","GKN1",0,"Promoter (<=1kb)",1.63030372350371,1.24026771369678e-18,3.1550125932763e-16
"101928404","RGS5-AS1",2131,"Promoter (2-3kb)",1.62727697937588,2.57668711785093e-12,8.2887008401684e-11
"132299","OCIAD2",-1182,"Promoter (1-2kb)",1.62636383824847,8.01386838141511e-17,1.12269650302825e-14
"23022","PALLD",-2867,"Promoter (2-3kb)",1.62378847629496,3.2974007808811e-11,7.562117354303e-10
"10550","ARL6IP5",0,"Promoter (<=1kb)",1.62240853828733,5.90313888356909e-20,2.33951255826369e-17
"646603","C4orf51",1306,"Promoter (1-2kb)",1.61238041003235,2.7747698174459e-15,2.38420555025251e-13
"105375523","LOC105375523",0,"Promoter (<=1kb)",1.61060036289273,1.96341248371639e-11,4.83549726722152e-10
"169792","GLIS3",2680,"Promoter (2-3kb)",1.61030294926202,1.15233707910604e-17,2.04386538994102e-15
"10239","AP3S2",0,"Promoter (<=1kb)",1.6047778921765,1.83710684386243e-10,3.3131330795142e-09
"5820","PVT1",-2713,"Promoter (2-3kb)",1.60252533653968,1.86595989069044e-21,1.18438907542231e-18
"163","AP2B1",753,"Promoter (<=1kb)",1.60111561787167,9.61240164906888e-09,9.60892249645546e-08
"84909","AOPEP",0,"Promoter (<=1kb)",1.59728255066997,8.45542765104487e-10,1.20021132729552e-08
"221895","JAZF1",-2419,"Promoter (2-3kb)",1.59458918854558,1.38743536044807e-11,3.61013295067867e-10
"105373852","LINC01802",-909,"Promoter (<=1kb)",1.59426979844856,1.12176917955027e-20,5.86139555357983e-18
"57480","PLEKHG1",1590,"Promoter (1-2kb)",1.58607553760832,1.02724295183051e-18,2.72050520379989e-16
"81626","SHCBP1L",-1849,"Promoter (1-2kb)",1.58212338702038,8.65827473330294e-16,8.54032782749723e-14
"101927992","LINC01213",0,"Promoter (<=1kb)",1.58104366023189,4.50507331128144e-20,1.97946778015918e-17
"9851","KIAA0753",-1457,"Promoter (1-2kb)",1.57926644248094,2.12634881080404e-09,2.62843360353418e-08
"23543","RBFOX2",0,"Promoter (<=1kb)",1.57434130822865,8.03321551340275e-11,1.62284384034081e-09
"4853","NOTCH2",0,"Promoter (<=1kb)",1.57054475952665,4.88896375789313e-17,7.32700281638356e-15
"100506457","MIR3681HG",0,"Promoter (<=1kb)",1.56971675669607,2.16219406530224e-16,2.56452134137965e-14
"6772","STAT1",-843,"Promoter (<=1kb)",1.56900336351485,2.14134948424911e-09,2.64022382519056e-08
"101930053","LOC101930053",0,"Promoter (<=1kb)",1.56772370346337,1.15612223241831e-13,5.79049510863813e-12
"267","AMFR",1563,"Promoter (1-2kb)",1.56512039528789,1.24247893927469e-10,2.36193169449337e-09
"10184","LHFPL2",1877,"Promoter (1-2kb)",1.56497454199877,1.5442701796245e-12,5.32181379370419e-11
"100528016","TMX2-CTNND1",-1730,"Promoter (1-2kb)",1.56274770532836,1.41586286070146e-15,1.29117342858214e-13
"57480","PLEKHG1",-11,"Promoter (<=1kb)",1.55809574056201,1.73673632488761e-14,1.19488695263531e-12
"51603","METTL13",0,"Promoter (<=1kb)",1.55709221966717,3.12195149263741e-11,7.24570086520516e-10
"644192","NR2F2-AS1",277,"Promoter (<=1kb)",1.55690351318166,5.77976613524483e-16,6.00753863939184e-14
"100131897","INSYN2B",0,"Promoter (<=1kb)",1.55663089720249,1.05856115096744e-19,3.86135145880254e-17
"639","PRDM1",0,"Promoter (<=1kb)",1.55391842311888,2.79277372652271e-19,8.99878240914393e-17
"101927377","LOC101927377",0,"Promoter (<=1kb)",1.55089328153186,1.77338361539688e-10,3.20418929312784e-09
"7114","TMSB4X",2514,"Promoter (2-3kb)",1.54848883310809,7.89857099182836e-09,8.12682666232133e-08
"2697","GJA1",0,"Promoter (<=1kb)",1.54848879759963,9.89662563060625e-12,2.6986102019254e-10
"100996266","COMETT",-2885,"Promoter (2-3kb)",1.54781507619919,1.00979255178297e-13,5.12396834740687e-12
"101929475","ITGB1-DT",0,"Promoter (<=1kb)",1.54655249135351,1.15485415902294e-09,1.56569393102317e-08
"55744","COA1",0,"Promoter (<=1kb)",1.54570284073183,2.30943283370086e-22,2.12610785590184e-19
"3910","LAMA4",-1681,"Promoter (1-2kb)",1.54515387087579,1.71951037185619e-07,1.15388038941672e-06
"9162","DGKI",1411,"Promoter (1-2kb)",1.53823124238134,1.2083260518417e-12,4.35019880079248e-11
"5295","PIK3R1",0,"Promoter (<=1kb)",1.53704730693603,1.45381421202177e-13,6.95707677252895e-12
"3371","TNC",0,"Promoter (<=1kb)",1.53424238639976,6.38045682467312e-19,1.87297270994685e-16
"105376220","LINC02977",-1911,"Promoter (1-2kb)",1.52298136572284,5.52590073089535e-16,5.77471561245405e-14
"107984426","LINC02695",0,"Promoter (<=1kb)",1.52060668491346,5.93055842916179e-08,4.63915139680206e-07
"800","CALD1",0,"Promoter (<=1kb)",1.51883924474117,8.49546911928113e-19,2.38033194902988e-16
"100499467","LINC00673",0,"Promoter (<=1kb)",1.51779056969588,1.22639293370325e-21,8.4678052097446e-19
"102724168","LINC02542",0,"Promoter (<=1kb)",1.51376645688794,1.34089539731701e-09,1.77558429563902e-08
"220965","FAM13C",0,"Promoter (<=1kb)",1.51124665494287,1.11813588226446e-18,2.92120554213769e-16
"324","APC",0,"Promoter (<=1kb)",1.50979623320569,4.51478091415675e-12,1.3616889144055e-10
"729467","HSD52",0,"Promoter (<=1kb)",1.50814041309581,1.09544162590973e-15,1.04325975141443e-13
"100422965","MIR4263",-2205,"Promoter (2-3kb)",1.49864776848627,3.5155725990699e-09,4.03123161671521e-08
"667","DST",0,"Promoter (<=1kb)",1.49308149711349,6.83586596184878e-18,1.30849303604379e-15
"115294","PCMTD1",632,"Promoter (<=1kb)",1.4889072741154,8.7145900981391e-11,1.74589813852148e-09
"100500836","MIR3914-1",0,"Promoter (<=1kb)",1.48576673372612,1.71866457068413e-12,5.81907918476992e-11
"302","ANXA2",808,"Promoter (<=1kb)",1.48551627131263,1.08240213332465e-16,1.45320003080316e-14
"685","BTC",0,"Promoter (<=1kb)",1.48284238030809,9.99188972278854e-13,3.72921243263843e-11
