"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"3987","LIMS1",4789,"5' UTR",2.34178278107442,3.02589129854448e-20,4.24263870906695e-17
"81671","VMP1",-8075,"5' UTR",2.32747330580421,1.50080669241598e-11,1.41260824356479e-09
"1123","CHN1",8936,"3' UTR",2.20028824070022,2.92024902300238e-17,1.7334448990738e-14
"9728","SECISBP2L",8541,"5' UTR",2.05281654503185,2.52627175857765e-10,1.57306841567328e-08
"902","CCNH",4606,"3' UTR",2.05096234292779,5.55791135441371e-09,2.15332656559938e-07
"7024","TFCP2",-14728,"5' UTR",1.99721151059219,9.51644633148712e-08,2.38490356484549e-06
"149420","PDIK1L",11459,"3' UTR",1.99284229348443,1.01712694012544e-08,3.60336770151822e-07
"323","APBB2",58322,"5' UTR",1.9787875426269,2.17681727233126e-29,2.85028368495188e-25
"7082","TJP1",8721,"3' UTR",1.96023468364878,6.84619264346788e-16,2.63862322866548e-13
"9887","SMG7",10060,"3' UTR",1.95019662019972,1.3374203006909e-07,3.16868028164909e-06
"60487","TRMT11",30385,"3' UTR",1.92411569497654,1.70345424934396e-08,5.57210715621312e-07
"9650","MTFR1",8303,"3' UTR",1.88307081528713,1.17341935694997e-13,2.2479480719803e-11
"55754","TMEM30A",3622,"5' UTR",1.85373190376099,4.2732499240827e-11,3.4718137677048e-09
"100507530","MCPH1-AS1",5592,"3' UTR",1.81828823803696,4.14765783380125e-08,1.18246416893708e-06
"729970","CNN3-DT",43026,"3' UTR",1.80641810134098,1.80551976445268e-09,8.27440862466629e-08
"9933","PUM3",3998,"5' UTR",1.80565903165719,3.30758472371483e-09,1.38828933519638e-07
"51430","SUCO",-12173,"5' UTR",1.79946047625382,1.68374196366559e-10,1.11038245250993e-08
"23118","TAB2",-5864,"5' UTR",1.79687261428729,8.81439074382657e-16,3.23615481383673e-13
"1130","LYST",9172,"3' UTR",1.7855678120123,2.43514416792444e-07,5.24518637520951e-06
"7360","UGP2",4449,"3' UTR",1.77868413282861,4.69753255927691e-07,9.05249032113262e-06
"26018","LRIG1",25718,"3' UTR",1.77859382637427,3.94628607631895e-11,3.25478549129257e-09
"167227","DCP2",16889,"3' UTR",1.76792221134276,6.7975648029923e-08,1.79829200940579e-06
"6789","STK4",-8972,"3' UTR",1.7610180086852,1.04018112936373e-15,3.73466357142085e-13
"4603","MYBL1",3797,"3' UTR",1.75696635410227,1.04089247014523e-18,8.99286107575166e-16
"5288","PIK3C2G",10677,"3' UTR",1.75241613424969,7.57525302673535e-07,1.3546751275793e-05
"169792","GLIS3",-6318,"5' UTR",1.7428174720041,3.99237496750653e-13,6.39743671517339e-11
"55346","TCP11L1",3287,"5' UTR",1.7407231612741,1.13793216974571e-12,1.56979624892528e-10
"7414","VCL",-3518,"3' UTR",1.72273195880996,3.44559947501842e-13,5.66070228903405e-11
"7050","TGIF1",3164,"3' UTR",1.71093967914932,3.86789530976923e-07,7.68875376017376e-06
"667","DST",3485,"5' UTR",1.70094784931877,3.96208321620263e-11,3.26512528570604e-09
"22955","SCMH1",5944,"5' UTR",1.69996022548586,4.1079188608379e-09,1.67158484643728e-07
"23527","ACAP2",-5879,"3' UTR",1.69890959126013,1.75112725948861e-07,3.96840035000035e-06
"114882","OSBPL8",-26587,"5' UTR",1.69644627942651,2.85302785251107e-06,4.10392425109811e-05
"6426","SRSF1",3877,"3' UTR",1.69482660557591,7.58921096001998e-10,4.00892243128435e-08
"6788","STK3",-12812,"3' UTR",1.69331958243251,8.734465601477e-10,4.50560468681328e-08
"29126","CD274",4028,"3' UTR",1.68644117237992,4.94615382029444e-10,2.77020381577751e-08
"4507","MTAP",-16533,"3' UTR",1.68412157395091,5.52233585858653e-14,1.17827139924502e-11
"22950","SLC4A1AP",-8942,"3' UTR",1.67985834052498,5.59709725985849e-11,4.37033069529373e-09
"667","DST",42148,"5' UTR",1.67344603099093,5.09311045947811e-07,9.68739271058142e-06
"51065","RPS27L",4427,"3' UTR",1.67067167480445,3.391975328653e-06,4.75019655010132e-05
"66008","TRAK2",11172,"5' UTR",1.65573260926116,2.89792185935282e-10,1.76001680662599e-08
"151258","SLC38A11",13960,"3' UTR",1.63371857282034,5.74094990683001e-07,1.07055354000959e-05
